horizon,eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,nrounds,Alert_AUC,Brier_score,Alert_F1,Alert_Recall,Alert_Precision,score
5,0.05,4,3,0.85,0.85,1,0.05,500,0.8806579616459101,0.1767154815465191,0.4604708798017348,0.860982391102873,0.314276048714479,-0.7923002208726506
5,0.05,4,5,0.85,0.85,1,0.05,500,0.8815912092592908,0.18058891936561267,0.45654296874999994,0.8665430954587581,0.3099105071262844,-0.7912967495764844
5,0.05,4,3,0.85,0.85,1,0.05,400,0.8834758152365552,0.18784477275365644,0.44846465127350627,0.8730305838739574,0.3017296604740551,-0.7895534288597269
5,0.05,4,5,0.85,0.85,1,0.05,400,0.8784192680978554,0.1824166858682165,0.4564214615197864,0.871177015755329,0.3092105263157895,-0.7872109251637471
5,0.05,3,3,0.85,0.85,1,0.05,500,0.8834330661858977,0.1992925174458954,0.43586833144154374,0.8897126969416126,0.28863499699338546,-0.7837868074629499
5,0.03,4,5,0.85,0.85,1,0.05,500,0.8812416013794376,0.1971482514214325,0.43767186067827674,0.8850787766450418,0.2907153729071537,-0.7826674756687214
5,0.05,3,5,0.85,0.85,1,0.05,500,0.882380466806834,0.2003108424753954,0.43366425992779783,0.8906394810009268,0.2866090068595288,-0.7822250455691363
5,0.03,4,3,0.85,0.85,1,0.05,500,0.8797158826418248,0.19925674646337593,0.43581004317200633,0.8887859128822985,0.28868151715833834,-0.7800875094101368
5,0.03,4,3,0.85,0.85,1,0.05,400,0.88042770553174,0.20201316410076023,0.43204320432043203,0.8897126969416126,0.2852897473997028,-0.7794211234813598
5,0.05,3,5,0.85,0.85,1,0.05,400,0.8845476132910638,0.212170716878873,0.42098473446570633,0.907321594068582,0.27407614781634937,-0.7784622548516273
5,0.05,3,3,0.85,0.85,1,0.05,400,0.8825941480645367,0.21091832950739395,0.42256588978436066,0.8989805375347544,0.27619589977220954,-0.7771349833108397
5,0.03,4,5,0.85,0.85,1,0.05,400,0.879718954429896,0.20588179775757537,0.42708563841557867,0.8943466172381835,0.2805232558139535,-0.7767780555511083
5,0.03,3,3,0.85,0.85,1,0.05,500,0.8819600798101738,0.21602052538537003,0.41395447777068706,0.901760889712697,0.2686361126449475,-0.7739498171174888
5,0.03,3,5,0.85,0.85,1,0.05,500,0.8812597761255255,0.21872448202023906,0.41541393182299385,0.9091751621872104,0.2692096597145993,-0.771897535115406
5,0.03,3,5,0.85,0.85,1,0.05,400,0.8807066622859556,0.21932903115733798,0.4132127077635177,0.9101019462465245,0.2672836145890038,-0.7710421467072867
5,0.03,3,3,0.85,0.85,1,0.05,400,0.879482362752829,0.22390977197980627,0.4091944501967281,0.9156626506024096,0.2634666666666667,-0.7675274767629259
