mode,barangay,horizon,n,mae,rmse,r2
environmental_only,ADLAON,0,72,0.2176511609569541,0.35183040386246683,-0.03499925467294429
environmental_only,ADLAON,1,71,0.21597967727969308,0.3513271830657321,-0.020023951109031435
environmental_only,ADLAON,2,70,0.21828330380733935,0.3555619403650918,-0.032465063062210975
environmental_only,ADLAON,3,69,0.197630030731565,0.34467001344650894,-0.04739723685859376
environmental_only,ADLAON,4,68,0.18634718599441927,0.33900561832817316,-7.764934261806911e-4
environmental_only,ADLAON,8,64,0.17289009955387052,0.3419290207418774,-0.06894130491885031
environmental_only,ADLAON,12,60,0.1704237382744492,0.35552425575359486,-0.09382448832916146
environmental_only,AGSUNGOT,0,72,0.10706290432226352,0.38878963142221057,-0.05464312916198244
environmental_only,AGSUNGOT,1,71,0.11079684929749302,0.3895200919026123,-0.04487742071164802
environmental_only,AGSUNGOT,2,70,0.11940785256716144,0.39433031562914506,-0.05677163569831856
environmental_only,AGSUNGOT,3,69,0.10996730670760296,0.3928007743112141,-0.0346286568364349
environmental_only,AGSUNGOT,4,68,0.1228644058117552,0.3967889970718117,-0.041501479118888795
environmental_only,AGSUNGOT,8,64,0.07118943537025543,0.3066661378435533,-0.04675194545954775
environmental_only,AGSUNGOT,12,60,0.07057630901003188,0.3163727225165016,-0.04747127438666299
environmental_only,APAS,0,72,0.8667669712432197,1.0762579077463499,-0.017071195695507857
environmental_only,APAS,1,71,0.8279272750963902,1.0717803372512167,0.005382567273151784
environmental_only,APAS,2,70,0.8122457599670608,1.0217103906121177,-0.0027585569879147176
environmental_only,APAS,3,69,0.7862156918436561,1.0099442691827223,0.02172438774037766
environmental_only,APAS,4,68,0.7980059103065725,1.0149676872489872,0.026276145935855366
environmental_only,APAS,8,64,0.7958218457650682,1.048687740895853,-0.05271313986910364
environmental_only,APAS,12,60,0.7977367672484033,1.0570328934069393,-0.03802496409788003
environmental_only,BABAG,0,72,0.31155521793478924,0.4978759676503182,-0.0853145303925944
environmental_only,BABAG,1,71,0.32812674349165055,0.5014395600961871,-0.09080659989405837
environmental_only,BABAG,2,70,0.3291922148070608,0.49255740225067596,-0.07195914617536281
environmental_only,BABAG,3,69,0.3523020475434461,0.48290848023692556,-0.05139020639738012
environmental_only,BABAG,4,68,0.316344294792983,0.4889883575922513,-0.06722283252141725
environmental_only,BABAG,8,64,0.3130119812162896,0.5042995413527026,-0.12371805853873274
environmental_only,BABAG,12,60,0.2703653340852376,0.48084561002767395,-0.0894829875109806
environmental_only,BACAYAN,0,72,0.5728499193140206,0.6496190308814869,-0.013280836178396038
environmental_only,BACAYAN,1,71,0.5760808891255385,0.6441411427107615,0.008720052632857689
environmental_only,BACAYAN,2,70,0.5803374756868974,0.6488400963775819,5.484465747955802e-4
environmental_only,BACAYAN,3,69,0.5521022471814558,0.6277379292371215,-0.0011181515739866477
environmental_only,BACAYAN,4,68,0.5822367449605315,0.6436314770304886,-0.04846473744381452
environmental_only,BACAYAN,8,64,0.5395000392106594,0.6508522611832334,-0.05285260647724188
environmental_only,BACAYAN,12,60,0.5185229973344616,0.6597837050005914,-0.051061257265933024
environmental_only,BANILAD,0,72,0.6758277458498275,0.8439744219214041,-0.10720419911893075
environmental_only,BANILAD,1,71,0.6905738278642745,0.8593875253406428,-0.1350655540313186
environmental_only,BANILAD,2,70,0.7264290114810887,0.8934250969753259,-0.2600583695671119
environmental_only,BANILAD,3,69,0.7631943269871679,0.9216544663539931,-0.32597277194183816
environmental_only,BANILAD,4,68,0.6804879783381578,0.835768626622683,-0.08422508495100534
environmental_only,BANILAD,8,64,0.6375614396997483,0.7639262419134757,0.002355087883032958
environmental_only,BANILAD,12,60,0.6409554652211674,0.7663855086494193,-0.014610504954023495
environmental_only,BASAK PARDO,0,72,0.9312551112417731,1.264377586456551,-0.009797140367620916
environmental_only,BASAK PARDO,1,71,0.8828722512931096,1.237411550146341,0.04162957495657926
environmental_only,BASAK PARDO,2,70,0.856552969249202,1.2212379402678557,-0.0165486608809855
environmental_only,BASAK PARDO,3,69,0.8146443160359185,1.1311290992608631,0.03676851366130185
environmental_only,BASAK PARDO,4,68,0.777121724072761,1.0498238218808598,-0.034141514511969895
environmental_only,BASAK PARDO,8,64,0.6509736648052488,0.7860532473340089,-0.1003631663092257
environmental_only,BASAK PARDO,12,60,0.673994023834464,0.7973165363807634,-0.09448549644685911
environmental_only,BASAK SAN NICOLAS,0,72,1.327791346645126,1.7811382372918125,-0.16613476076423717
environmental_only,BASAK SAN NICOLAS,1,71,1.3404270188288976,1.8215499269256412,-0.20749786969402573
environmental_only,BASAK SAN NICOLAS,2,70,1.3155985682504103,1.7577301949244037,-0.16733099290076425
environmental_only,BASAK SAN NICOLAS,3,69,1.3077240176389624,1.7690191508362787,-0.1700337920085948
environmental_only,BASAK SAN NICOLAS,4,68,1.2890882078871944,1.7576882890592225,-0.13848426791498358
environmental_only,BASAK SAN NICOLAS,8,64,1.3028819222205779,1.7867873112189512,-0.25402052513457707
environmental_only,BASAK SAN NICOLAS,12,60,1.2676299551451455,1.686042514661191,-0.41449366972800505
environmental_only,BINALIW,0,72,0.12521384430497284,0.3424684736535849,-0.015031141628144118
environmental_only,BINALIW,1,71,0.13151121382660994,0.3508900641350348,-0.051978411635424715
environmental_only,BINALIW,2,70,0.10941253660607911,0.2632289996197605,-0.044672555630822286
environmental_only,BINALIW,3,69,0.10792646986642554,0.2647846973106575,-0.04311926863199145
environmental_only,BINALIW,4,68,0.10904984504077853,0.26572539203158785,-0.03650973294875226
environmental_only,BINALIW,8,64,0.09657380120264497,0.2709081324388123,-0.01901837845153498
environmental_only,BINALIW,12,60,0.09464082841368614,0.2834958673948956,-0.052115143956156906
environmental_only,BONBON,0,72,0.23271728709746836,0.38155276244659114,-0.048194075820498616
environmental_only,BONBON,1,71,0.2257409099367024,0.38976488607719456,-0.08165524776414057
environmental_only,BONBON,2,70,0.24370749750096884,0.3900261848420701,-0.07096276124433509
environmental_only,BONBON,3,69,0.24103729408945848,0.3905500000902456,-0.06168422447091637
environmental_only,BONBON,4,68,0.22075260419809847,0.37671274371307084,-0.04657633119527427
environmental_only,BONBON,8,64,0.214016363917339,0.4049693426257465,-0.15222073763245825
environmental_only,BONBON,12,60,0.21853120051407518,0.41399891944691347,-0.14475395007711134
environmental_only,BUDLA-AN (POB.),0,72,0.23371342903876008,0.3907450294564522,0.02883212394492718
environmental_only,BUDLA-AN (POB.),1,71,0.2412679700923141,0.4034343848812026,-0.02302948371752489
environmental_only,BUDLA-AN (POB.),2,70,0.24732283968096908,0.39823414204794283,0.015091107383980451
environmental_only,BUDLA-AN (POB.),3,69,0.23824676567671693,0.3889297336521619,0.07193423469210225
environmental_only,BUDLA-AN (POB.),4,68,0.24351467578572833,0.3990528246023964,0.034940554193643614
environmental_only,BUDLA-AN (POB.),8,64,0.1859861930448741,0.3343874186436956,-0.022308075402917682
environmental_only,BUDLA-AN (POB.),12,60,0.1854323795570136,0.347913451197979,-0.047494159346535
