forecast_horizon_label,model_part,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+4,regressor,0.03,7,5,0.85,0.85,1,400,52.03370250480147,25.15164734783216,0.507712773063999,0.8144430781032324,72.37761109936653
H+4,regressor,0.03,7,5,0.85,0.85,1,500,52.15928422212859,25.266673993792963,0.5053336658521925,0.8160128278649069,72.55051493801462
H+4,regressor,0.03,7,5,0.85,0.85,1,600,52.19974578176374,25.37684622852896,0.5045659124295216,0.816080017511425,72.6270248015819
H+4,regressor,0.03,7,20,0.85,0.85,1,400,53.35803602380803,25.477895995647074,0.48233502695394226,0.8179699774812097,73.65345508467436
H+4,regressor,0.05,15,20,0.85,0.85,1,400,53.391053443222525,25.819630153894632,0.48169417691624183,0.8215044598380512,73.67530550069193
H+4,regressor,0.05,15,20,0.85,0.85,1,500,53.47003653036217,25.851973460972282,0.4801595499949334,0.8223508240485206,73.80637386439815
H+4,regressor,0.03,7,20,0.85,0.85,1,500,53.50013716312949,25.577922847126317,0.47957410319747795,0.8182557948217714,73.85528596684681
H+4,regressor,0.05,7,10,0.85,0.85,1,400,52.98005074141506,26.37416916360341,0.48964326762062915,0.8075629409786417,73.88585696809618
H+4,regressor,0.05,15,20,0.85,0.85,1,600,53.51484397482443,25.889108001936215,0.4792879410281812,0.8232173589262829,73.8919404122461
H+4,regressor,0.03,7,20,0.85,0.85,1,600,53.531427969244525,25.633995306215503,0.47896515866400446,0.8192338524698937,73.91165097174448
H+4,regressor,0.05,7,10,0.85,0.85,1,500,53.15321041716098,26.462625149030497,0.48630172210378253,0.8064805456893988,74.13068522204941
H+4,regressor,0.03,7,10,0.85,0.85,1,400,53.39740987283758,25.5764913189945,0.4815707565906441,0.8079048808740137,74.20692173412223
H+4,regressor,0.03,7,10,0.85,0.85,1,500,53.508213683110306,25.69108686366177,0.4794169616407553,0.8081010951254399,74.37802644064398
H+4,regressor,0.05,7,10,0.85,0.85,1,600,53.350385052849425,26.531348017660292,0.48248347153749627,0.8061791207099944,74.42447238267218
H+4,regressor,0.03,7,10,0.85,0.85,1,600,53.5524011853221,25.774565844954946,0.4785568035187474,0.8083360817931582,74.4567023290998
