column,na_count
barangay,0
origin_year,0
origin_week,0
target_year_h,0
target_week_h,0
forecast_horizon,0
forecast_horizon_label,0
actual_cases,0
actual_log_incidence,0
target_population_h,0
Horizon,0
Horizon_number,0
display_in_app_default,0
environmental_xgboost_cases,0
predicted_cases,0
predicted_log_incidence,0
outbreak_probability,0
alert_threshold,0
alert_level,0
predicted_outbreak_from_cases,0
predicted_outbreak_from_probability,0
model_type,0
uses_autocorrelation_features,0
includes_neighboring_environmental_features,0
includes_citywide_environmental_features,0
mae,0
rmse,0
r2,0
mode,0
model_scope,0
horizon,0
target_year,0
target_week,0
actual_cases_available,0
forecast_available,0
