column,na_count
barangay,0
year,0
week,0
origin_year,0
origin_week,0
target_year_h,0
target_week_h,0
dengue_cases,0
dengue_incidence_10000,0
target_cases_h,0
target_incidence_10000_h,0
target_log_incidence_h,0
target_estimated_population_h,0
target_outbreak_h,0
target_large_outbreak_h,0
Horizon,0
Horizon_number,0
actual_cases,0
actual_incidence_10000,0
actual_log_incidence,0
actual_outbreak,0
xgb_regressor_cases,0
xgb_regressor_log_incidence,0
outbreak_probability,0
soft_gated_xgboost_cases,0
soft_gated_xgboost_log_incidence,0
alert_level,0
predicted_outbreak_from_cases,0
predicted_outbreak_from_probability,0
error,0
absolute_error,0
soft_alpha,0
selected_keep_per_var,0
mae,0
rmse,0
r2,0
mode,0
model_scope,0
horizon,0
target_year,0
target_week,0
predicted_cases,0
predicted_log_incidence,0
model_type,0
uses_autocorrelation_features,0
alert_threshold,0
actual_cases_available,0
forecast_available,0
