column,na_count
origin_year,0
origin_week,0
target_year,0
target_week,0
forecast_horizon,0
forecast_horizon_label,0
city_dengue_cases,0
city_incidence_10000,0
target_cases,0
target_incidence_10000,0
target_log_incidence,0
target_population,0
city_outbreak_threshold_cases,0
city_large_outbreak_threshold_cases,0
actual_cases,0
actual_incidence_10000,0
actual_log_incidence,0
actual_outbreak,0
pure_lightgbm_cases,0
predicted_cases,0
pure_lightgbm_log_incidence,0
predicted_log_incidence,0
outbreak_probability,0
alert_threshold,0
predicted_outbreak_from_cases,0
predicted_outbreak_from_probability,0
alert_level,0
alert_level_from_cases,0
error,0
absolute_error,0
display_in_app_default,0
model_type,0
uses_autocorrelation_features,0
includes_citywide_environmental_features,0
mae,0
rmse,0
r2,0
mode,0
model_scope,0
horizon,0
total_predicted_cases,0
actual_cases_available,0
forecast_available,0
