mode,barangay,n,actual_total,predicted_total,actual_mean,predicted_mean,mae,rmse,r2
environmental_only,ADLAON,858,115,64.51514833368407,0.13403263403263405,0.07519248057538935,0.18916352922923244,0.3478007636547782,-0.04219499705340213
environmental_only,AGSUNGOT,858,69,9.968985426972,0.08041958041958042,0.011618864134000002,0.09087361011973867,0.3479175785176819,-0.0443129504648998
environmental_only,APAS,858,827,874.5444869063671,0.9638694638694638,1.0192826187719894,0.8063948377377997,1.048251116675716,-0.02268899854298434
environmental_only,BABAG,858,225,92.14471582925584,0.26223776223776224,0.10739477369377137,0.3116171958343359,0.4944329416501632,-0.09246809900701747
environmental_only,BACAYAN,858,395,367.1205144779498,0.4603729603729604,0.427879387503438,0.5586204528129799,0.6466844331086186,-0.027677198407064063
environmental_only,BANILAD,858,525,689.7777228985118,0.6118881118881119,0.8039367399749554,0.6787597872350074,0.8203419325417627,-0.08176296855023302
environmental_only,BASAK PARDO,858,477,647.2764326003597,0.5559440559440559,0.75440143659715575,0.747038852651821,0.9768727163438562,-0.02626902694203337
environmental_only,BASAK SAN NICOLAS,858,1509,860.4698649756627,1.7587412587412588,1.0028786305077655,1.275171707915308,1.7323223206735079,-0.20146320048294242
environmental_only,BINALIW,858,69,26.098134804992263,0.08041958041958042,0.030417406532625015,0.10597947096577386,0.28478818901578,-0.03167409989100611
environmental_only,BONBON,858,147,66.68255206412945,0.17132867132867133,0.07771859214933502,0.2253070224546723,0.3944700371920632,-0.09601294164985807
environmental_only,BUDLA-AN (POB.),858,124,90.62040887058133,0.1445221445221445,0.1056181921568547,0.21855639794254253,0.37382850283406505,0.0014630752236691746
environmental_only,BUHISAN,858,310,434.94849944357895,0.3613053613053613,0.5069329830344743,0.5560188161813779,0.6195303878700514,-0.09773625711252532
environmental_only,BULACAO,858,471,778.1888399934478,0.548951048951049,0.9069799999923635,0.7372381186195353,0.8632435931266608,-0.20991538220533057
environmental_only,BUOT-TAUP PARDO,858,52,3.4966549178950115,0.06060606060606061,0.004075355382162018,0.06447990422553329,0.24604045337427,-0.06328387442927697
