mode,barangay,horizon,n,actual_total,predicted_total,actual_mean,predicted_mean,mae,rmse,r2
environmental_only,ADLAON,0,72,10,7.651273853109895,0.1388888888888889,0.10626769240430411,0.2176511609569541,0.35183040386246683,-0.03499925467294429
environmental_only,ADLAON,1,71,10,7.445613700644311,0.14084507042253522,0.1048677986006241,0.21597967727969308,0.3513271830657321,-0.020023951109031435
environmental_only,ADLAON,2,70,10,7.251216388701851,0.14285714285714285,0.10358880555288359,0.21828330380733935,0.3555619403650918,-0.032465063062210975
environmental_only,ADLAON,3,69,9,6.0611406027134525,0.13043478260869565,0.08784261743062974,0.197630030731565,0.34467001344650894,-0.04739723685859376
environmental_only,ADLAON,4,68,9,5.313600430755358,0.1323529411764706,0.07814118280522585,0.18634718599441927,0.33900561832817316,-7.764934261806911e-4
environmental_only,ADLAON,5,67,9,3.997088680022741,0.13432835820895522,0.05965804000033942,0.17631939146648593,0.34733731525865374,-0.03748538745904284
environmental_only,ADLAON,6,66,9,5.166052045140157,0.13636363636363635,0.07827351583545691,0.19474991869740346,0.3507595545328879,-0.04469502292135474
environmental_only,ADLAON,7,65,9,5.1974157174138496,0.13846153846153847,0.07996024180636692,0.1956566586714202,0.3502229163129237,-0.028218224092917854
environmental_only,ADLAON,8,64,8,3.8576289339664136,0.125,0.06027545209322521,0.17289009955387052,0.3419290207418774,-0.06894130491885031
environmental_only,ADLAON,9,63,8,3.660820382903077,0.12698412698412698,0.05810826004608059,0.17016576044933043,0.341354131609845,-0.05108720620514773
environmental_only,ADLAON,10,62,8,2.577346629183134,0.12903225806451613,0.041570106922308614,0.15868782910223897,0.34558096738353494,-0.06267206501896294
environmental_only,ADLAON,11,61,8,3.4603777707588113,0.13114754098360656,0.05672750443866904,0.17171966740694214,0.34505734250255754,-0.0449039234366615
environmental_only,ADLAON,12,60,8,2.8755731983710144,0.13333333333333333,0.047926219972850244,0.1704237382744492,0.35552425575359486,-0.09382448832916146
environmental_only,AGSUNGOT,0,72,7,0.7916430572596611,0.09722222222222222,0.010995042461939738,0.10706290432226352,0.38878963142221057,-0.05464312916198244
environmental_only,AGSUNGOT,1,71,7,1.0001389942130445,0.09859154929577464,0.014086464707225979,0.11079684929749302,0.3895200919026123,-0.04487742071164802
environmental_only,AGSUNGOT,2,70,7,1.4746582041338485,0.1,0.021066545773340693,0.11940785256716144,0.39433031562914506,-0.05677163569831856
environmental_only,AGSUNGOT,3,69,7,0.8619997902759838,0.10144927536231885,0.01249275058370991,0.10996730670760296,0.3928007743112141,-0.0346286568364349
environmental_only,AGSUNGOT,4,68,7,1.6089875577113084,0.10294117647058823,0.023661581731048653,0.1228644058117552,0.3967889970718117,-0.041501479118888795
environmental_only,AGSUNGOT,5,67,5,0.30055378786672665,0.07462686567164178,0.004485877430846667,0.07876989890913044,0.32291213436615873,-0.054229987910713096
environmental_only,AGSUNGOT,6,66,5,0.8459582494544592,0.07575757575757576,0.012817549234158473,0.08693347828574408,0.32338524008646896,-0.04242980968236054
environmental_only,AGSUNGOT,7,65,4,0.6674959364775319,0.06153846153846154,0.01026916825350049,0.07170209215900387,0.3039452726607389,-0.04362841996023037
environmental_only,AGSUNGOT,8,64,4,0.5561238636963474,0.0625,0.008689435370255428,0.07118943537025543,0.3066661378435533,-0.04675194545954775
environmental_only,AGSUNGOT,9,63,4,0.3565709483327833,0.06349206349206349,0.005659856322742592,0.06915191981480609,0.3089093971770977,-0.04624830710408179
environmental_only,AGSUNGOT,10,62,4,0.4172445205475943,0.06451612903225806,0.006729750331412812,0.07124587936367087,0.31140683123123974,-0.04710359742157344
environmental_only,AGSUNGOT,11,61,4,0.8530319764007985,0.06557377049180328,0.013984130760668827,0.07955790125247211,0.3142367560778288,-0.049797638104140285
environmental_only,AGSUNGOT,12,60,4,0.2345785406019132,0.06666666666666667,0.00390964234336522,0.07057630901003188,0.3163727225165016,-0.04747127438666299
environmental_only,APAS,0,72,72,87.52536155207095,1,1.215630021556541,0.8667669712432197,1.0762579077463499,-0.017071195695507857
environmental_only,APAS,1,71,71,77.52859557411384,1,1.0919520503396316,0.8279272750963902,1.0717803372512167,0.005382567273151784
environmental_only,APAS,2,70,67,79.33102088235606,0.9571428571428572,1.1333002983193723,0.8122457599670608,1.0217103906121177,-0.0027585569879147176
environmental_only,APAS,3,69,67,77.81993775912346,0.9710144927536232,1.1278251849148329,0.7862156918436561,1.0099442691827223,0.02172438774037766
environmental_only,APAS,4,68,66,76.55808411091301,0.9705882352941176,1.125854178101662,0.7980059103065725,1.0149676872489872,0.026276145935855366
environmental_only,APAS,5,67,65,63.228649955934706,0.9701492537313433,0.9437111933721598,0.774799385220356,1.0462136781072102,-0.019397007780276754
environmental_only,APAS,6,66,65,71.58859201041629,0.9848484848484849,1.084675636521459,0.7882007673662106,1.0281462546969353,0.0171481227572694
environmental_only,APAS,7,65,62,58.14690178622533,0.9538461538461539,0.894567719788082,0.7772438446360902,1.0295065848073577,-0.030374848017308054
environmental_only,APAS,8,64,61,57.535175969293505,0.953125,0.898987124520211,0.7958218457650682,1.048687740895853,-0.05271313986910364
environmental_only,APAS,9,63,60,57.28239043521836,0.9523809523809523,0.9092442926225137,0.8261698039122749,1.0824660764275806,-0.10413283700402953
environmental_only,APAS,10,62,59,57.944178554836306,0.9516129032258065,0.9345835250780049,0.8137949821198401,1.0824645226501717,-0.08664124924218064
environmental_only,APAS,11,61,57,62.36200143160583,0.9344262295081968,1.022327892321407,0.8126520397192074,1.0593114594761113,-0.04126827889978513
environmental_only,APAS,12,60,55,47.69359688425939,0.9166666666666666,0.7948932814043231,0.7977367672484033,1.0570328934069393,-0.03802496409788003
environmental_only,BABAG,0,72,20,7.346009128489375,0.2777777777777778,0.10202790456235244,0.31155521793478924,0.4978759676503182,-0.0853145303925944
environmental_only,BABAG,1,71,20,8.269777210438876,0.28169014084507044,0.11647573535829404,0.32812674349165055,0.5014395600961871,-0.09080659989405837
environmental_only,BABAG,2,70,19,9.014080045852014,0.2714285714285714,0.12877257208360018,0.3291922148070608,0.49255740225067596,-0.07195914617536281
environmental_only,BABAG,3,69,18,11.936178770308555,0.2608695652173913,0.17298809812041382,0.3523020475434461,0.48290848023692556,-0.05139020639738012
environmental_only,BABAG,4,68,18,7.840218168487598,0.2647058823529412,0.11529732600717056,0.316344294792983,0.4889883575922513,-0.06722283252141725
environmental_only,BABAG,5,67,18,5.670076223301594,0.26865671641791045,0.08462800333285961,0.3028002863251753,0.5028750591432622,-0.1173161874127322
environmental_only,BABAG,6,66,18,6.661434443367987,0.2727272727272727,0.10093082489951495,0.31629934373592933,0.5028616693783035,-0.10592480296826623
environmental_only,BABAG,7,65,17,5.373035529587774,0.26153846153846155,0.08266208507058115,0.301569786455172,0.5049847230254481,-0.13891695065158416
environmental_only,BABAG,8,64,17,6.233137899517349,0.265625,0.09739277967995857,0.3130119812162896,0.5042995413527026,-0.12371805853873274
environmental_only,BABAG,9,63,16,8.030359834580938,0.25396825396825395,0.12746602912033236,0.32591450378083875,0.49386677225137093,-0.10257006706742189
environmental_only,BABAG,10,62,15,4.678640161201944,0.24193548387096775,0.07546193808390232,0.2820240813836017,0.4939873335757238,-0.13151541514912668
environmental_only,BABAG,11,61,15,6.44635897136356,0.2459016393442623,0.10567801592399279,0.2907650092927229,0.47674377217344144,-0.041534589954716594
environmental_only,BABAG,12,60,14,4.645409442758275,0.23333333333333334,0.07742349071263792,0.2703653340852376,0.48084561002767395,-0.0894829875109806
environmental_only,BACAYAN,0,72,35,32.92756311961188,0.4861111111111111,0.457327265550165,0.5728499193140206,0.6496190308814869,-0.013280836178396038
environmental_only,BACAYAN,1,71,34,34.333552219677415,0.4788732394366197,0.48357115802362555,0.5760808891255385,0.6441411427107615,0.008720052632857689
environmental_only,BACAYAN,2,70,34,35.61063721744381,0.4857142857142857,0.5087233888206258,0.5803374756868974,0.6488400963775819,5.484465747955802e-4
environmental_only,BACAYAN,3,69,32,31.830763907954765,0.463768115942029,0.46131541895586614,0.5521022471814558,0.6277379292371215,-0.0011181515739866477
environmental_only,BACAYAN,4,68,31,35.49477507275085,0.45588235294117646,0.5219819863639831,0.5822367449605315,0.6436314770304886,-0.04846473744381452
environmental_only,BACAYAN,5,67,31,28.312323381368255,0.4626865671641791,0.4225719907666904,0.5568203463181469,0.6397451641954214,-0.028684448698316878
environmental_only,BACAYAN,6,66,30,32.18628812426647,0.45454545454545453,0.48767103218585556,0.5664924628218607,0.6342499638534201,-0.0070696899534310464
environmental_only,BACAYAN,7,65,29,22.971966888158907,0.4461538461538462,0.3534148752024447,0.5334511467736595,0.645719628887608,-0.039923241043340774
environmental_only,BACAYAN,8,64,28,22.904903549723098,0.4375,0.3578891179644234,0.5395000392106594,0.6508522611832334,-0.05285260647724188
environmental_only,BACAYAN,9,63,28,25.03398831016814,0.4444444444444444,0.3973648938121927,0.5634069204893263,0.6578296767942963,-0.06679788713748014
environmental_only,BACAYAN,10,62,28,22.688633632846805,0.45161290322580644,0.36594570375559365,0.5585513432159733,0.6592224473451184,-0.06266117026825357
environmental_only,BACAYAN,11,61,28,24.334602442948835,0.45901639344262296,0.39892790890080054,0.5525351192537754,0.6482537679911584,-0.01935254136018738
environmental_only,BACAYAN,12,60,27,18.490516611030586,0.45,0.3081752768505097,0.5185229973344616,0.6597837050005914,-0.051061257265933024
environmental_only,BANILAD,0,72,47,66.74266066784557,0.6527777777777778,0.9269813981645219,0.6758277458498275,0.8439744219214041,-0.10720419911893075
environmental_only,BANILAD,1,71,46,65.23673134517601,0.647887323943662,0.9188272020447326,0.6905738278642745,0.8593875253406428,-0.1350655540313186
environmental_only,BANILAD,2,70,44,71.82139946355052,0.6285714285714286,1.026019992336436,0.7264290114810887,0.8934250969753259,-0.2600583695671119
environmental_only,BANILAD,3,69,43,74.60913036980428,0.6231884057971014,1.081291744489917,0.7631943269871679,0.9216544663539931,-0.32597277194183816
environmental_only,BANILAD,4,68,43,60.18801860314028,0.6323529411764706,0.885117920634416,0.6804879783381578,0.835768626622683,-0.08422508495100534
environmental_only,BANILAD,5,67,42,51.004533062526704,0.6268656716417911,0.7612616875003986,0.6756066986909843,0.8063968397748498,0.0023621497266905767
environmental_only,BANILAD,6,66,41,43.46230490674517,0.6212121212121212,0.6585197713143207,0.6737617783984259,0.8027217422702244,0.023027593576008143
environmental_only,BANILAD,7,65,38,38.556785924694736,0.5846153846153846,0.5931813219183806,0.6416153441048619,0.7752837604709645,-0.03399806253308202
environmental_only,BANILAD,8,64,38,44.31908338560366,0.59375,0.6924856779000572,0.6375614396997483,0.7639262419134757,0.002355087883032958
environmental_only,BANILAD,9,63,37,46.13235575743822,0.5873015873015873,0.732259615197432,0.6625874211346746,0.779516035872551,-0.027148210380821602
environmental_only,BANILAD,10,62,36,44.88579403463548,0.5806451612903226,0.7239644199134755,0.6714521425326351,0.7743348912365808,-0.002104934536867775
environmental_only,BANILAD,11,61,36,46.03071432752011,0.5901639344262295,0.7546018742216412,0.6693231491693413,0.7942541388817752,-0.04699120863685069
environmental_only,BANILAD,12,60,34,36.78821104983104,0.5666666666666667,0.6131368508305173,0.6409554652211674,0.7663855086494193,-0.014610504954023495
environmental_only,BASAK PARDO,0,72,53,69.07461213386308,0.7361111111111112,0.9593696129703206,0.9312551112417731,1.264377586456551,-0.009797140367620916
environmental_only,BASAK PARDO,1,71,53,59.95642618044846,0.7464788732394366,0.8444567067668797,0.8828722512931096,1.237411550146341,0.04162957495657926
environmental_only,BASAK PARDO,2,70,49,56.95737347018152,0.7,0.813676763859736,0.856552969249202,1.2212379402678557,-0.0165486608809855
environmental_only,BASAK PARDO,3,69,45,56.78679980286173,0.6521739130434783,0.8229970985921989,0.8146443160359185,1.1311290992608631,0.03676851366130185
environmental_only,BASAK PARDO,4,68,40,56.48649160857128,0.5882352941176471,0.8306837001260482,0.777121724072761,1.0498238218808598,-0.034141514511969895
environmental_only,BASAK PARDO,5,67,34,46.50976094401812,0.5074626865671642,0.6941755364778823,0.6719771835789591,0.8088970804411679,-0.025564850210857415
environmental_only,BASAK PARDO,6,66,31,50.02737279019075,0.4696969696969697,0.757990496821072,0.6620268037731225,0.7853407467972618,-0.11709228517872439
environmental_only,BASAK PARDO,7,65,30,43.1228555055757,0.46153846153846156,0.6634285462396261,0.6639774385016768,0.7899798183009207,-0.12199479948452896
