horizon,eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,nrounds,RMSE_raw,MAE_raw,R2_raw,score
3,0.05,4,5,0.85,0.85,1,0.05,400,0.918788327029443,0.46996273887379386,0.36267292677790697,1.0127808748042018
3,0.03,4,5,0.85,0.85,1,0.05,400,0.9205864004548263,0.4696315325886477,0.36017598125624695,1.014512706972556
3,0.05,4,3,0.85,0.85,1,0.05,500,0.9218642907303635,0.4689685250762665,0.35839843517355985,1.0156579957456167
3,0.05,4,5,0.85,0.85,1,0.05,500,0.9231723764661136,0.46926086718628485,0.35657633335809,1.0170245499033705
3,0.05,4,5,0.85,0.85,1,0.05,600,0.9261407160352936,0.47093454159604187,0.3524319926164512,1.0203276243545019
3,0.03,4,5,0.85,0.85,1,0.05,600,0.9268345989610968,0.46985579783918346,0.35146128762165707,1.0208057585289334
3,0.05,3,3,0.85,0.85,1,0.05,400,0.9274263153361255,0.47113767113318566,0.35063293383575755,1.0216538495627627
3,0.03,3,5,0.85,0.85,1,0.05,400,0.9296278031268126,0.4776984439947441,0.34754639126780706,1.0251674919257614
3,0.03,4,3,0.85,0.85,1,0.05,500,0.9314437537988645,0.4738717216395945,0.3449948737842089,1.0262180981267834
3,0.03,3,3,0.85,0.85,1,0.05,500,0.9313550012226163,0.4755587939082483,0.34511969210533977,1.0264667600042658
3,0.03,4,3,0.85,0.85,1,0.05,400,0.9320618923111565,0.4763511837513016,0.3441252168883695,1.0273321290614168
3,0.03,3,5,0.85,0.85,1,0.05,600,0.9333013328459118,0.4749765361793522,0.3423797141466307,1.0282966400817821
3,0.03,3,3,0.85,0.85,1,0.05,600,0.933419647939912,0.4770682717602126,0.34221296984877536,1.0288333022919545
3,0.03,4,3,0.85,0.85,1,0.05,600,0.9346065100003907,0.4731167245155838,0.34053912719672186,1.0292298549035075
3,0.05,3,5,0.85,0.85,1,0.05,400,0.9342592176794473,0.4749340679157121,0.34102913693360337,1.0292460312625897
3,0.03,3,3,0.85,0.85,1,0.05,400,0.9338347744739993,0.48046602167089925,0.3416277548885821,1.0299279788081792
3,0.03,4,5,0.85,0.85,1,0.05,500,0.935384760325737,0.4734092492473867,0.3394403988746528,1.0300666101752143
3,0.05,3,3,0.85,0.85,1,0.05,600,0.9356813731621787,0.4738064712001499,0.3390214022643633,1.0304426674022087
3,0.05,4,3,0.85,0.85,1,0.05,600,0.9367826311675045,0.47433387686494366,0.337464598096451,1.0316494065404933
3,0.05,3,5,0.85,0.85,1,0.05,600,0.9374348587624343,0.47504789360612715,0.33654170672593764,1.0324444374836597
3,0.05,3,5,0.85,0.85,1,0.05,500,0.9391781160629369,0.4752629024766782,0.334071873454153,1.0342306965582726
3,0.03,3,5,0.85,0.85,1,0.05,500,0.93865051576229,0.47793277800129247,0.33481985764772926,1.0342370713625484
3,0.05,3,3,0.85,0.85,1,0.05,500,0.9393354502013358,0.47743087031249976,0.33384873792276104,1.0348216242638357
3,0.05,4,3,0.85,0.85,1,0.05,400,0.9411304008363854,0.47352399006138973,0.33130044475604503,1.0358351988486634
